Manufacturer	Strain / product	Format	Category	Verified seller(s)	Listing evidence	Source URL	R1 status
White Labs	WLP005 British Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP007 Dry English Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP008 East Coast Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP009 Australian Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP011 European Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP013 London Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP023 Burton Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP028 Edinburgh Scottish Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP029 German Ale/Kolsch	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP051 California V Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP066 London Fog Ale	Liquid + Dry	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP090 San Diego Super Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP099 Super High Gravity Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP300 Hefeweizen Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP500 Monastery Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP510 Bastogne Belgian Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP518 Opshaug Kveik	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP530 Abbey Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP540 Abbey IV Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP545 Belgian Strong Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
Wyeast	1007 German Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1028 London Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1056 American Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1084 Irish Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1098 British Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1099 Whitbread Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1187 Ringwood Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1272 American Ale II	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1318 London Ale III	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1332 Northwest Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1335 British Ale II	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1450 Denny's Favorite 50	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1469 West Yorkshire Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1728 Scottish Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1762 Belgian Abbey II	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	1968 London ESB Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2000 Budvar Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2001 Urquell Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2007 Pilsen Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2035 American Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2042 Danish Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2112 California Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2124 Bohemian Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2206 Bavarian Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2278 Czech Pils	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2308 Munich Lager	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2565 Kolsch	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	2633 Octoberfest Lager Blend	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3068 Weihenstephan Weizen	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3333 German Wheat	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3522 Belgian Ardennes	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3638 Bavarian Wheat	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3711 French Saison	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3724 Belgian Saison	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3787 Trappist High Gravity	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3864 Canadian/Belgian Ale	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	3944 Belgian Witbier	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
Wyeast	4184 Sweet Mead	Liquid	Beer	Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/wyeast	Round 1 Discovery – no ranking
